_model_name,_model_temperature,_model_top_p,_elo_match_competitor_a,_elo_match_competitor_b,_elo_match_winner,_elo_match_draw,_elo_match_wins_a,_elo_match_wins_b
gpt-4o-mini,0.0,1.0,Wile E. Coyote,Peter Griffin,Peter Griffin,False,4,6
gpt-4o-mini,0.0,1.0,Plankton,Homer Simpson,Homer Simpson,False,0,10
gpt-4o-mini,0.0,1.0,Patrick Star,Glenn Quagmire,Glenn Quagmire,False,1,9
gpt-4o-mini,0.0,1.0,Eric Cartman,Randy Marsh,Eric Cartman,False,10,0
gpt-4o-mini,0.0,1.0,Bugs Bunny,Stewie Griffin,Bugs Bunny,False,10,0
gpt-4o-mini,0.0,1.0,Mr. Burns,Bender from Futurama,Bender from Futurama,False,0,10
gpt-4o-mini,0.0,1.0,Donald Duck,Stimpy,Stimpy,False,0,10
gpt-4o-mini,0.0,1.0,SpongeBob SquarePants,Kenny McCormick,SpongeBob SquarePants,False,10,0
gpt-4o-mini,0.0,1.0,Peter Griffin,Bender from Futurama,Bender from Futurama,False,1,9
gpt-4o-mini,0.0,1.0,Wile E. Coyote,Mr. Burns,Wile E. Coyote,False,10,0
gpt-4o-mini,0.0,1.0,Bugs Bunny,Eric Cartman,Bugs Bunny,False,9,1
gpt-4o-mini,0.0,1.0,Plankton,Kenny McCormick,Plankton,False,9,1
gpt-4o-mini,0.0,1.0,Homer Simpson,Glenn Quagmire,Homer Simpson,False,9,1
gpt-4o-mini,0.0,1.0,Donald Duck,Patrick Star,Patrick Star,False,0,10
gpt-4o-mini,0.0,1.0,SpongeBob SquarePants,Stimpy,SpongeBob SquarePants,False,10,0
gpt-4o-mini,0.0,1.0,Randy Marsh,Stewie Griffin,Randy Marsh,False,9,1
gpt-4o-mini,0.0,1.0,Randy Marsh,Glenn Quagmire,Randy Marsh,False,7,3
gpt-4o-mini,0.0,1.0,Wile E. Coyote,Stimpy,Stimpy,False,3,7
gpt-4o-mini,0.0,1.0,Plankton,Eric Cartman,Eric Cartman,False,0,10
gpt-4o-mini,0.0,1.0,Bugs Bunny,SpongeBob SquarePants,Bugs Bunny,False,8,2
gpt-4o-mini,0.0,1.0,Patrick Star,Courage the Cowardly Dog,Patrick Star,False,9,1
gpt-4o-mini,0.0,1.0,Squidward Tentacles,Peter Griffin,Peter Griffin,False,0,10
gpt-4o-mini,0.0,1.0,Homer Simpson,Bender from Futurama,Bender from Futurama,False,1,9
gpt-4o-mini,0.0,1.0,Donald Duck,Stewie Griffin,Stewie Griffin,False,0,10
gpt-4o-mini,0.0,1.0,Peter Griffin,Stimpy,Peter Griffin,False,10,0
gpt-4o-mini,0.0,1.0,Plankton,Courage the Cowardly Dog,Plankton,False,6,4
gpt-4o-mini,0.0,1.0,Bugs Bunny,Bender from Futurama,Bugs Bunny,False,9,1
gpt-4o-mini,0.0,1.0,Wile E. Coyote,Stewie Griffin,Wile E. Coyote,False,6,4
gpt-4o-mini,0.0,1.0,SpongeBob SquarePants,Randy Marsh,SpongeBob SquarePants,False,7,3
gpt-4o-mini,0.0,1.0,Homer Simpson,Eric Cartman,Eric Cartman,False,2,8
gpt-4o-mini,0.0,1.0,Squidward Tentacles,Glenn Quagmire,Glenn Quagmire,False,0,10
gpt-4o-mini,0.0,1.0,Donald Duck,Kenny McCormick,Donald Duck,False,7,3
gpt-4o-mini,0.0,1.0,Patrick Star,Mr. Burns,Patrick Star,False,10,0
gpt-4o-mini,0.0,1.0,Randy Marsh,Stimpy,Randy Marsh,False,9,1
gpt-4o-mini,0.0,1.0,SpongeBob SquarePants,Peter Griffin,SpongeBob SquarePants,False,9,1
gpt-4o-mini,0.0,1.0,Squidward Tentacles,Stewie Griffin,Stewie Griffin,False,0,10
gpt-4o-mini,0.0,1.0,Plankton,Glenn Quagmire,Glenn Quagmire,False,0,10
gpt-4o-mini,0.0,1.0,Wile E. Coyote,Homer Simpson,Homer Simpson,False,0,10
gpt-4o-mini,0.0,1.0,Eric Cartman,Bender from Futurama,Bender from Futurama,False,4,6
gpt-4o-mini,0.0,1.0,Donald Duck,Courage the Cowardly Dog,Courage the Cowardly Dog,False,3,7
gpt-4o-mini,0.0,1.0,Bugs Bunny,Patrick Star,Bugs Bunny,False,10,0
gpt-4o-mini,0.0,1.0,SpongeBob SquarePants,Bender from Futurama,Bender from Futurama,False,1,9
gpt-4o-mini,0.0,1.0,Eric Cartman,Glenn Quagmire,Eric Cartman,False,10,0
gpt-4o-mini,0.0,1.0,Randy Marsh,Peter Griffin,Randy Marsh,False,6,4
gpt-4o-mini,0.0,1.0,Wile E. Coyote,Plankton,Wile E. Coyote,False,10,0
gpt-4o-mini,0.0,1.0,Stewie Griffin,Stimpy,Stewie Griffin,False,9,1
gpt-4o-mini,0.0,1.0,Squidward Tentacles,Kenny McCormick,Squidward Tentacles,False,8,2
gpt-4o-mini,0.0,1.0,Patrick Star,Homer Simpson,Homer Simpson,False,0,10
gpt-4o-mini,0.0,1.0,Donald Duck,Mr. Burns,Donald Duck,False,8,2
gpt-4o-mini,0.0,1.0,Bugs Bunny,Courage the Cowardly Dog,Bugs Bunny,False,10,0
gpt-4o-mini,0.0,1.0,Plankton,Stimpy,Stimpy,False,0,10
gpt-4o-mini,0.0,1.0,SpongeBob SquarePants,Eric Cartman,Eric Cartman,False,4,6
gpt-4o-mini,0.0,1.0,Wile E. Coyote,Patrick Star,Patrick Star,False,3,7
gpt-4o-mini,0.0,1.0,Donald Duck,Squidward Tentacles,Donald Duck,False,6,4
gpt-4o-mini,0.0,1.0,Stewie Griffin,Courage the Cowardly Dog,Stewie Griffin,False,9,1
gpt-4o-mini,0.0,1.0,Kenny McCormick,Bender from Futurama,Bender from Futurama,False,0,10
gpt-4o-mini,0.0,1.0,Bugs Bunny,Mr. Burns,Bugs Bunny,False,10,0
gpt-4o-mini,0.0,1.0,Squidward Tentacles,Plankton,Squidward Tentacles,False,7,3
gpt-4o-mini,0.0,1.0,SpongeBob SquarePants,Patrick Star,SpongeBob SquarePants,False,7,3
gpt-4o-mini,0.0,1.0,Wile E. Coyote,Donald Duck,Wile E. Coyote,False,10,0
gpt-4o-mini,0.0,1.0,Stewie Griffin,Glenn Quagmire,Stewie Griffin,False,7,3
gpt-4o-mini,0.0,1.0,Courage the Cowardly Dog,Stimpy,Stimpy,False,2,8
gpt-4o-mini,0.0,1.0,Homer Simpson,Peter Griffin,Homer Simpson,False,6,4
gpt-4o-mini,0.0,1.0,Randy Marsh,Bender from Futurama,Bender from Futurama,False,0,10
gpt-4o-mini,0.0,1.0,Mr. Burns,Eric Cartman,Eric Cartman,False,0,10
gpt-4o-mini,0.0,1.0,Bugs Bunny,Kenny McCormick,Bugs Bunny,False,10,0
gpt-4o-mini,0.0,1.0,SpongeBob SquarePants,Stewie Griffin,SpongeBob SquarePants,False,8,2
gpt-4o-mini,0.0,1.0,Wile E. Coyote,Glenn Quagmire,Wile E. Coyote,False,7,3
gpt-4o-mini,0.0,1.0,Donald Duck,Peter Griffin,Peter Griffin,False,0,10
gpt-4o-mini,0.0,1.0,Kenny McCormick,Courage the Cowardly Dog,Courage the Cowardly Dog,False,3,7
gpt-4o-mini,0.0,1.0,Squidward Tentacles,Randy Marsh,Randy Marsh,False,0,10
gpt-4o-mini,0.0,1.0,Bugs Bunny,Homer Simpson,Bugs Bunny,False,10,0
gpt-4o-mini,0.0,1.0,Eric Cartman,Bender from Futurama,Bender from Futurama,False,4,6
gpt-4o-mini,0.0,1.0,Patrick Star,Peter Griffin,Peter Griffin,False,0,10
gpt-4o-mini,0.0,1.0,Glenn Quagmire,Courage the Cowardly Dog,Glenn Quagmire,False,9,1
